City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Sorland,NO,67.667,12.6934,37.26,57,93,20.96,overcast clouds
187,Belaya Gora,RU,68.5333,146.4167,-27.96,100,98,0.65,overcast clouds
188,Mahebourg,MU,-20.4081,57.7,75.25,74,48,5.53,scattered clouds
189,Dudinka,RU,69.4058,86.1778,-30.62,99,47,6.13,scattered clouds
190,Silver City,US,32.7701,-108.2803,33.67,90,85,8.99,light snow
191,Adrar,MR,20.5022,-10.0711,66.18,17,0,9.93,clear sky
192,Qunduz,AF,36.729,68.857,37.08,52,8,2.3,clear sky
193,Buraydah,SA,26.326,43.975,56.79,74,100,7.99,moderate rain
194,Henties Bay,NA,-22.116,14.2845,65.71,89,69,9.31,broken clouds
195,Dingle,PH,10.9995,122.6711,74.66,95,100,9.04,moderate rain
196,Broken Hill,AU,-31.95,141.4333,75.94,37,0,19.48,clear sky
197,Fortuna,US,40.5982,-124.1573,50.67,80,100,12.66,overcast clouds
198,Ilhabela,BR,-23.7781,-45.3581,72.88,91,32,5.55,scattered clouds
199,Port Shepstone,ZA,-30.7414,30.455,69.73,88,91,10.16,overcast clouds
200,Berlevag,NO,70.8578,29.0864,28.4,69,100,11.5,overcast clouds
201,Taucha,DE,51.3833,12.4833,47.98,88,0,9.22,clear sky
202,Seoni Malwa,IN,22.45,77.4667,50.95,58,1,7.87,clear sky
203,Sept-Iles,CA,50.2001,-66.3821,12.42,83,48,6.93,scattered clouds
204,Urgut,UZ,39.4022,67.2431,26.22,49,30,5.23,scattered clouds
205,Magole,TZ,-6.3667,37.3667,67.57,91,40,2.42,scattered clouds
206,Cidreira,BR,-30.1811,-50.2056,71.13,97,76,6.8,broken clouds
207,Bredasdorp,ZA,-34.5322,20.0403,67.66,93,54,6.35,broken clouds
208,Meulaboh,ID,4.1363,96.1285,74.03,91,92,3.27,overcast clouds
